CONTROLE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2010.80.000_07 27 13.00_kg_5,,,,,,,,,,,,,60.3762,,,109.231,,,,,,,,,,,,,,,,,,,,,,,117.345,,98.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3762,,,109.231,,,,,,,,,,,,,,,,,,,,,,,117.345,,98.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2020.10.000_08 81 23.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8216.95,,495.528,,,77.1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8216.95,,495.528,,,77.1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2020.10.000_08 81 23.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.767,56.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.767,56.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2050.10.000_08 13 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2050.10.000_08 32 00.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2050.10.000_08 81 23.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0725,,,,,,,,,,,,,,,,,,,,
002_B2050.10.CSR_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860,,,,,,,,,,,,,
002_B2080.50.000_06 11 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2080.50.000_06 11 00.00_kg_5,,,,,,,,102.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B2080.50.000_08 81 23.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.485,,,,,,,,,,,
002_B3010.10.000_07 31 13.00_kg_2,,,,,,,,,,,,,,,853.27,,,,,,,,,,,,,,,,,,,,,,2457.85,,,,,,,,,,,,,2218.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.27,,,,,,,,,,,,,,,,,,,,,,2457.85,,,,,,,,,,,,,2218.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.10.000_07 31 13.00_kg_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.10.000_07 41 13.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.000_03 00 00.00_kg_2,,,,,,,,,,,70272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.000_07 51 13.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.000_07 51 13.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.000_07 53 23.00_kg_2,,,,,,,,,,,,,,,,5.70992,,,,,,,,,,,,,,,,,,,,,,,24.1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70992,,,,,,,,,,,,,,,,,,,,,,,24.1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.000_07 53 23.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166464,,,,,0.782487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166464,,,,,0.782487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.CSR_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11761.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11761.2,,,,,,,,,,,,,
002_B3010.50.VLR_03 21 00.00_kg_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.50.VLR_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_06 20 13.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 21 13.07 21 13.16_kg_2,,285.822,,182.99,,,,,,,,,,279.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.822,,182.99,,,,,,,,,,279.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 21 13.07 21 13.19_kg_2,,,1472.79,,,,3287.19,2454.08,3875.2,,,,,,,4479.25,892.69,,1143.35,1573.98,7492.68,3251.08,4250.82,,,990.653,,3955.58,4413.75,,2051.88,1600.21,1457.91,,2491.58,1594.3,2495.98,,1684.84,,2626.57,1074.42,6231.79,2268.52,,,3569.12,,2268.52,3769.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.79,,,,3287.19,2454.08,3875.2,,,,,,,4479.25,892.69,,1143.35,1573.98,7492.68,3251.08,4250.82,,,990.653,,3955.58,4413.75,,2051.88,1600.21,1457.91,,2491.58,1594.3,2495.98,,1684.84,,2626.57,1074.42,6231.79,2268.52,,,3569.12,,2268.52,3769.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 21 13.07 21 13.19_kg_5,4085.28,,,,,,,,,,,701.619,1569.91,,,,,691.229,,,,,,1443.83,,,,,,,,,,,,,,4159.29,,,,,,,1445.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4085.28,,,,,,,,,,,701.619,1569.91,,,,,691.229,,,,,,1443.83,,,,,,,,,,,,,,4159.29,,,,,,,1445.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 21 29.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,431.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 24 13.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 26 13.00_kg_2,22.8366,16.5025,,,,,18.3706,20.7014,25.9947,,,298.859,8.77852,26.0605,,,,,19.4949,13.2019,41.8572,18.1735,24.0028,19.3654,12.8109,18.1637,,26.5122,,,,,8.14453,,16.7091,,16.7387,23.2576,22.647,,,,,22.5029,,14.5969,23.9218,,22.5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8366,16.5025,,,,,18.3706,20.7014,25.9947,,,298.859,8.77852,26.0605,,,,,19.4949,13.2019,41.8572,18.1735,24.0028,19.3654,12.8109,18.1637,,26.5122,,,,,8.14453,,16.7091,,16.7387,23.2576,22.647,,,,,22.5029,,14.5969,23.9218,,22.5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 26 13.00_kg_3,,,15.9305,11.3469,,,,,,,,,,,,62.6168,40.9189,31.6844,,,,,,,,,,,73.9994,,17.3086,13.4986,,,,13.4487,,,,,14.6871,15.0149,34.8464,,,,,,,63.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9305,11.3469,,,,,,,,,,,,62.6168,40.9189,31.6844,,,,,,,,,,,73.9994,,17.3086,13.4986,,,,13.4487,,,,,14.6871,15.0149,34.8464,,,,,,,63.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 26 13.00_kg_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 27 13.00_kg_2,,,,,,,,,,,,,,,43.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B3010.90.000_07 27 13.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4778,,,,,,,,41.0386,190.683,,,,,,,,,,,,56.5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4778,,,,,,,,41.0386,190.683,,,,,,,,,,,,56.5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_03 00 00.00_kg_2,,,,,226968,292896,,,,,461784,,,,,,,,,,,,,,,,31584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226968,292896,,,,,461784,,,,,,,,,,,,,,,,31584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_03 21 00.00_kg_4,,,,,7423.74,11117.9,,,,,15104.2,,,,,,,,,,,,,,,,1033.06,,,,,,,,,,,,,,,,,,,,,,,,3174.23,11981.5,7254.19,13317.5,11065.5,20455.9,,,,,4553.79,15840.5,2552.82,3570.97,,8441.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7423.74,11117.9,,,,,15104.2,,,,,,,,,,,,,,,,1033.06,,,,,,,,,,,,,,,,,,,,,,,,3174.23,11981.5,7254.19,13317.5,11065.5,20455.9,,,,,4553.79,15840.5,2552.82,3570.97,,8441.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_03 21 13.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_03 30 00 .00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97046.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97046.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502344,221784,407160,338304,625392,,,,,139224,484296,78048,109176,,258072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502344,221784,407160,338304,625392,,,,,139224,484296,78048,109176,,258072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_04 22 00.00_kg_2,,,,,,11262.4,,,,,37111.4,,,,,,,,,,,,,,,,96456.4,,,,,,,,,,,,,2130.82,,,,,,,,,,,,2299.5,,55100.4,18650.8,65143.3,,,,,9274.53,220750,10323.1,26699.8,,5815.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11262.4,,,,,37111.4,,,,,,,,,,,,,,,,96456.4,,,,,,,,,,,,,2130.82,,,,,,,,,,,,2299.5,,55100.4,18650.8,65143.3,,,,,9274.53,220750,10323.1,26699.8,,5815.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_06 11 00.00_kg_2,1524.82,2388.81,2043.19,,,,2445.82,1096.87,3091.7,1397.2,,,1183.58,2490.91,1250.41,3088.92,,,974.971,1668.97,3907.04,2109.43,3555.15,871.544,1616.68,1892.35,,3303.84,3260.88,713.729,1776.76,1934.03,4916.49,664.359,1804.62,,1830.84,2561.91,2286.34,,1793.06,,4733.37,2197.34,3237.33,2109.23,2759.15,,2113.15,3394.12,,,,,,,,,,,,,,,15186.9,,24.9888,310.458,449.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524.82,2388.81,2043.19,,,,2445.82,1096.87,3091.7,1397.2,,,1183.58,2490.91,1250.41,3088.92,,,974.971,1668.97,3907.04,2109.43,3555.15,871.544,1616.68,1892.35,,3303.84,3260.88,713.729,1776.76,1934.03,4916.49,664.359,1804.62,,1830.84,2561.91,2286.34,,1793.06,,4733.37,2197.34,3237.33,2109.23,2759.15,,2113.15,3394.12,,,,,,,,,,,,,,,15186.9,,24.9888,310.458,449.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_06 11 00.00_kg_3,,,,,,,,,,,,1691.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.138,,,,,,,,,,,,,,,,,,,,,,,,,,119.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.138,,,,,,,,,,,,,,,,,,,,,,,,,,119.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_06 11 00.00_kg_5,,,,,,,,,,,,,,,,,2557.08,1556.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2557.08,1556.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_06 16 36.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_09 21 16.00_kg_2,,805.38,,,,,,1125.21,2546.52,1394.68,,,1007.25,2430.41,,2878.81,,,1406.41,1369.47,4094.22,2583.61,2814.3,789.278,1638.67,1800.5,,2581.96,,612.147,1827.48,1947.42,3167.02,568.386,1601.46,,,,2243.15,,1596.05,1712.1,3452.15,2200.01,2629.58,,2485.94,,2078.61,,,,,,,,,,,,,,,,29389.6,,591.06,429.808,382.531,1122.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.38,,,,,,1125.21,2546.52,1394.68,,,1007.25,2430.41,,2878.81,,,1406.41,1369.47,4094.22,2583.61,2814.3,789.278,1638.67,1800.5,,2581.96,,612.147,1827.48,1947.42,3167.02,568.386,1601.46,,,,2243.15,,1596.05,1712.1,3452.15,2200.01,2629.58,,2485.94,,2078.61,,,,,,,,,,,,,,,,29389.6,,591.06,429.808,382.531,1122.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_09 21 16.00_kg_3,2515.47,,1422.49,,,,2135.59,,,,,1197.37,,,1078.38,,,,,,,,,,,,,,2810.21,,,,,,,,1713.86,2954.18,,,,,,,,1840.01,,,,3079.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2515.47,,1422.49,,,,2135.59,,,,,1197.37,,,1078.38,,,,,,,,,,,,,,2810.21,,,,,,,,1713.86,2954.18,,,,,,,,1840.01,,,,3079.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_09 21 16.00_kg_5,,,,,,,,,,,,,,,,,2022.8,1869.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.8,1869.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.10.000_09 28 13.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,550.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_C1010.90.000_07 21 13.07 21 13.16_kg_2,,21.3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
