CONTROLE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000_A1010.10.0FW_03 21 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0296,,,,227.35,797.529,5130.64,31.1765,,6710.45,4.66102,40.3866,74.1856,37.4056,86.7863,76.3845,44.3896,9.04785,106.091,86.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0296,,,,227.35,797.529,5130.64,31.1765,,6710.45,4.66102,40.3866,74.1856,37.4056,86.7863,76.3845,44.3896,9.04785,106.091,86.0272
000_A1010.10.0FW_03 21 00.00_kg_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.434,,,,,,,,,,,
000_A1010.10.0FW_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24958.2,,,,,,,,,,5184.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24958.2,,,,,,,,,,5184.87,,,,
000_A1010.10.0FW_04 05 16.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.073,,,,6009.4,,,1552.83,4024.36,709.043,1702.87,,2985.94,847.032,,2457.41,1431.31,211.588,440.212,2757.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.073,,,,6009.4,,,1552.83,4024.36,709.043,1702.87,,2985.94,847.032,,2457.41,1431.31,211.588,440.212,2757.9
000_A1010.10.0FW_04 22 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.919,,,,,,,1868.51,6456.67,1137.59,2732.08,2068.05,4790.63,1358.97,,,2296.39,339.471,706.275,4424.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.919,,,,,,,1868.51,6456.67,1137.59,2732.08,2068.05,4790.63,1358.97,,,2296.39,339.471,706.275,4424.77
000_A1010.30.0CF_03 21 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0072,,,,,,,,74.2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0072,,,,,,,,74.2505,,,,,,
000_A1010.30.0CF_03 21 00.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.27,162.482,194.192,193.073,207.923,236.07,212.093,167.875,161.76,216.532,149.797,187.49,136.013,224.735,151.8,312.668,155.871,158.747,153.035,198.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.27,162.482,194.192,193.073,207.923,236.07,212.093,167.875,161.76,216.532,149.797,187.49,136.013,224.735,151.8,312.668,155.871,158.747,153.035,198.888,,,,,,,,,,,,,,,,,,,,
000_A1010.30.0CF_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10065.5,,14616.7,,17114.6,,,20667.5,,,,18266.5,,,12579.8,,12305.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10065.5,,14616.7,,17114.6,,,20667.5,,,,18266.5,,,12579.8,,12305.7,,,,,,,,,,,,,,,,,,,,,
000_A1010.30.0CF_03 31 00.00_kg_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21035.2,13402.4,,15314.4,,15976.4,,12498.5,20561.9,,11656.5,15100.1,10765.4,,12780.4,16336.7,,13007.4,,15738.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21035.2,13402.4,,15314.4,,15976.4,,12498.5,20561.9,,11656.5,15100.1,10765.4,,12780.4,16336.7,,13007.4,,15738.1,,,,,,,,,,,,,,,,,,,,
000_A1010.30.0CP_03 21 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.922,117.424,,,2148.47,1498.29,4398.51,504.902,1452.43,13378.5,614.077,563.959,789.563,976.417,938.447,79.193,259.943,187.18,702.813,1363.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.922,117.424,,,2148.47,1498.29,4398.51,504.902,1452.43,13378.5,614.077,563.959,789.563,976.417,938.447,79.193,259.943,187.18,702.813,1363.17
